time,x,y
46.292801,41.780452,-10.816977
46.468803,42.344496,-10.891397
46.556297,42.625419,-10.929029
46.6539,42.938905,-10.971022
46.794998,43.340955,-10.977457
46.9468,43.777399,-10.988278
47.124001,44.280375,-10.994444
47.212997,44.520662,-10.984324
47.309502,44.781124,-10.973355
47.450302,45.101085,-10.975463
47.600899,45.458482,-10.973104
47.779099,45.982755,-10.998503
47.869499,46.234841,-10.996959
47.965302,46.416786,-11.009111
48.105598,46.762824,-11.002998
48.255005,47.196852,-11.01854
48.434402,47.592295,-11.052891
48.525803,47.82354,-11.025821
48.621101,48.045203,-10.977268
48.760902,48.422563,-10.961376
48.909203,48.720645,-10.984998
49.0896,49.30013,-11.062625
49.182198,49.553034,-11.055142
49.276901,49.850502,-11.088818
49.416199,50.213038,-11.08985
49.563301,50.523544,-11.099096
49.744202,50.95843,-11.094634
49.8386,51.157591,-11.100669
49.932503,51.37029,-11.102273
50.071503,51.676938,-11.107072
50.217499,52.046668,-11.097813
50.398598,52.448751,-11.100938
50.495003,52.659763,-11.037504
50.588203,52.809483,-11.057398
50.714401,53.13263,-11.034928
50.860603,53.414553,-10.995852
51.034599,53.86638,-11.008845
51.145401,54.196786,-11.029229
51.231102,54.428085,-11.019488
51.3601,54.776364,-11.004821
51.505302,55.058901,-11.021198
51.671799,55.547795,-11.043952
51.791801,55.77787,-11.074772
51.880699,56.014096,-11.065797
52.010101,56.254109,-11.083964
52.158203,56.686369,-11.101407
52.325302,57.046841,-11.135405
52.448402,57.379235,-11.121407
52.536598,57.572094,-11.124991
52.665398,57.855761,-11.129614
52.813499,58.184368,-11.064411
52.979004,58.541654,-11.072455
53.105003,58.772621,-11.091003
53.192505,59.008645,-11.081064
53.320801,59.327057,-11.074884
53.468498,59.644593,-11.082557
53.632599,60.046573,-11.076203
53.761902,60.327165,-11.082087
53.848404,60.560636,-11.072255
53.975998,60.775404,-11.040368
54.123398,61.111676,-11.02875
54.286201,61.519331,-11.083359
54.419205,61.773443,-11.106006
54.504303,62.003357,-11.096324
54.631203,62.36419,-11.101469
54.778099,62.702972,-11.146852
54.940102,63.121547,-11.13406
55.076302,63.400666,-11.145248
55.160301,63.606721,-11.141903
55.2864,63.847308,-11.157547
55.432602,64.24272,-11.210516
55.594002,64.60995,-11.212755
55.733604,64.996001,-11.263892
55.816399,65.152186,-11.274746
55.941605,65.490173,-11.260512
56.086998,65.78242,-11.274174
56.247902,66.150142,-11.2759
56.3908,66.484175,-11.275203
56.472404,66.619995,-11.291308
56.596504,66.930153,-11.284697
56.741501,67.270976,-11.283447
56.901703,67.637566,-11.285022
57.048004,67.95737,-11.327863
57.128403,68.162183,-11.3553
57.2509,68.448437,-11.393646
57.396004,68.862399,-11.401969
57.555405,69.23506,-11.470384
57.705101,69.580835,-11.540648
57.785301,69.797444,-11.531526
57.905205,70.016964,-11.556233
58.050598,70.3949,-11.606862
58.209198,70.766151,-11.615726
58.362,71.128473,-11.6734
58.442505,71.294247,-11.679805
58.559601,71.585621,-11.718838
58.705299,71.887777,-11.754525
58.862999,72.274204,-11.795791
59.018799,72.65016,-11.813911
59.0998,72.785323,-11.829828
59.2136,73.072461,-11.822949
59.359802,73.307221,-11.854398
59.517097,73.59488,-11.892933
59.675598,73.97498,-11.943852
59.756905,74.172998,-11.941042
59.867798,74.430135,-11.991806
60.014404,74.798821,-12.015817
60.171501,75.175872,-12.06846
60.332504,75.501258,-12.083033
60.414001,75.710202,-12.090163
60.523399,75.927549,-12.157886
60.669205,76.28061,-12.205183
60.825798,76.62497,-12.298847
60.989502,77.039202,-12.354338
61.071098,77.179404,-12.37312
61.178902,77.48685,-12.414306
61.324104,77.792745,-12.455284
61.480202,78.1575,-12.504147
61.6465,78.585234,-12.561447
61.728203,78.769453,-12.586125
61.834305,79.04734,-12.623352
61.979004,79.279728,-12.654483
62.134598,79.69016,-12.709465
62.303497,80.070755,-12.712916
62.385399,80.20235,-12.730545
62.4897,80.418263,-12.804392
62.633698,80.781432,-12.826427
62.788902,81.164709,-12.862443
62.960403,81.480344,-12.932748
63.042702,81.682151,-12.953754
63.145203,81.904223,-12.958531
63.288399,82.181982,-13.040047
63.4431,82.543296,-13.044143
63.616104,82.981706,-13.102873
63.699799,83.118502,-13.123402
63.800697,83.335331,-13.195164
63.9431,83.667404,-13.19473
64.097099,84.07531,-13.249374
64.2715,84.477668,-13.303275
64.357002,84.653278,-13.3268
64.456299,84.910781,-13.361296
64.5979,85.200621,-13.400124
64.751099,85.536528,-13.445123
64.926804,85.923995,-13.482006
65.013901,86.138671,-13.478253
65.111801,86.304424,-13.508357
65.252899,86.636893,-13.565087
65.405098,86.943501,-13.58607
65.582001,87.372155,-13.643494
65.6707,87.553164,-13.70361
65.767303,87.799921,-13.714038
65.908302,88.063433,-13.742324
66.059204,88.42017,-13.80102
66.237198,88.796665,-13.881859
66.327202,88.992578,-13.908104
66.423103,89.270205,-13.958577
66.563599,89.607388,-14.005502
66.713303,89.911428,-14.031196
66.892403,90.330602,-14.087349
66.983604,90.619004,-14.125985
67.079002,90.790818,-14.149001
67.218903,91.053506,-14.184192
67.367401,91.414692,-14.232577
67.5476,91.761346,-14.254102
67.6399,91.984548,-14.282645
67.734802,92.208461,-14.3201
67.874199,92.498487,-14.330232
68.0215,92.895628,-14.383435
68.2024,93.346638,-14.443853
68.296303,93.499311,-14.464306
68.390404,93.801589,-14.5048
68.529503,94.087746,-14.543135
68.675598,94.427821,-14.588692
68.856804,94.837311,-14.661803
68.952698,95.033394,-14.669817
69.046104,95.265037,-14.700849
69.1847,95.56641,-14.741222
69.330902,95.961791,-14.794188
69.511101,96.429237,-14.849246
69.6092,96.685986,-14.850345
69.701797,96.885802,-14.914846
69.8396,97.20934,-14.913781
69.986198,97.544265,-14.915394
70.165504,97.954869,-14.966121
70.2658,98.163656,-14.994091
70.357498,98.410919,-15.027216
70.494598,98.691633,-15.064821
70.641502,99.088274,-15.117957
70.819405,99.534535,-15.17774
70.922203,99.72923,-15.190965
71.013504,99.955626,-15.186617
71.149498,100.261247,-15.227559
71.2967,100.573475,-15.269387
71.473305,101.055214,-15.371067
71.578705,101.369799,-15.423599
71.6698,101.624194,-15.422199
71.804504,101.878355,-15.439772
71.951904,102.24328,-15.472496
72.126999,102.597739,-15.540566
72.235504,102.946181,-15.587245
72.326103,103.187499,-15.619573
72.459602,103.505284,-15.662145
72.607101,103.863656,-15.752027
72.780502,104.28221,-15.806788
72.892303,104.625013,-15.859682
72.9823,104.774343,-15.879687
73.1147,105.106288,-15.885888
73.262299,105.458054,-15.939367
73.433998,105.863434,-16.007122
73.549004,106.201428,-16.023333
73.638603,106.419439,-16.052538
73.769699,106.749677,-16.096779
73.917702,107.064191,-16.138913
74.087601,107.461615,-16.192154
74.205605,107.823162,-16.23563
74.294899,108.064101,-16.225485
74.424805,108.3206,-16.259694
74.572998,108.671675,-16.306726
74.741203,109.102301,-16.364414
74.862198,109.404401,-16.404885
74.950905,109.599757,-16.431056
75.080101,109.943637,-16.477124
75.228302,110.310046,-16.573744
75.394798,110.684946,-16.623968
75.518898,111.044775,-16.672172
75.606804,111.204669,-16.693593
75.735504,111.573832,-16.762191
75.883598,111.938908,-16.797482
76.0485,112.325959,-16.86601
76.175499,112.622192,-16.921674
76.262703,112.880692,-16.965656
76.3908,113.187547,-17.052213
76.538498,113.587484,-17.107875
76.702103,114.014412,-17.168354
76.832603,114.33162,-17.255098
76.918602,114.570382,-17.287084
77.045998,114.856447,-17.325407
77.193298,115.172019,-17.367683
77.355698,115.624484,-17.45707
77.489799,115.963546,-17.476273
77.5746,116.14615,-17.535911
77.701202,116.472444,-17.544731
77.8479,116.813897,-17.610119
78.009705,117.192449,-17.679005
78.147003,117.533054,-17.708604
78.230598,117.748853,-17.760425
78.3564,118.054572,-17.801381
78.502403,118.45327,-17.858202
78.663605,118.869521,-17.95809
78.804199,119.160589,-17.997084
78.886703,119.425426,-18.032563
79.011604,119.639754,-18.061276
79.156799,119.971931,-18.105776
79.317505,120.327383,-18.153395
79.461502,120.717265,-18.237119
79.542603,120.889225,-18.298749
79.666298,121.19238,-18.330565
79.811302,121.534118,-18.410125
79.971199,121.96453,-18.503931
80.118698,122.32291,-18.515797
80.1987,122.453287,-18.534936
80.320702,122.726356,-18.605278
80.465797,123.077231,-18.650433
80.625,123.472484,-18.683968
80.775604,123.838339,-18.728109
80.856003,124.019842,-18.772017
80.974998,124.359143,-18.836118
81.120499,124.652875,-18.863463
81.278801,125.031689,-18.918415
