t,x,y
72.849602,89.157232,21.272302
72.9646,89.45522,21.233477
73.110596,89.833511,21.184189
73.267899,90.241097,21.131085
73.425598,90.649726,21.077844
73.506798,90.860166,21.050426
73.6185,91.149683,21.012705
73.765198,91.529694,20.963193
73.922295,91.936864,20.910143
74.082497,92.35193,20.856063
74.163895,92.562787,20.828591
74.273796,92.847743,20.791464
74.419899,93.226242,20.742149
74.576698,93.632474,20.689221
74.739395,94.054135,20.634283
74.820999,94.265486,20.606746
74.929298,94.54635,20.570152
75.074799,94.948812,20.511029
75.230995,95.388381,20.444717
75.3964,95.853757,20.374512
75.478096,96.083531,20.339849
75.584702,96.383566,20.294587
75.729599,96.791244,20.233086
75.885399,97.229398,20.166987
76.053398,97.702047,20.095685
76.135201,97.932245,20.060958
76.240196,98.22747,20.016421
76.384399,98.633393,19.955185
76.539795,99.070416,19.889257
76.710396,99.55028,19.816866
76.792496,99.781355,19.782007
76.895599,100.071543,19.73823
77.039101,100.475203,19.677335
77.194,100.911037,19.611587
77.3666,101.39656,19.538342
77.449699,101.630295,19.503082
77.551102,101.915616,19.460039
77.693794,102.317125,19.399469
77.848099,102.751148,19.333994
78.021996,103.240237,19.260211
78.106895,103.479207,19.224161
78.206696,103.760029,19.181797
78.348595,104.159161,19.121585
78.502098,104.590977,19.056443
78.677299,105.083971,18.982072
78.763901,105.327553,18.945325
78.862297,105.604272,18.903581
79.003395,106.001423,18.843668
79.156097,106.430862,18.778884
79.332596,106.927422,18.703974
79.4207,107.175249,18.666588
79.517799,107.448487,18.625368
79.658798,107.845214,18.565519
79.810097,108.270974,18.501291
79.987701,108.76609,18.428149
80.077301,109.003889,18.397144
80.1735,109.259344,18.363838
80.314095,109.632778,18.315148
80.464195,110.031345,18.263182
80.642899,110.50593,18.201305
80.733696,110.747122,18.169858
80.8293,111.000894,18.13677
80.969398,111.372938,18.088262
81.118401,111.768514,18.036686
81.298195,112.245983,17.974432
81.390099,112.49006,17.942609
81.4851,112.74247,17.909699
81.624695,113.113206,17.861362
81.772499,113.505523,17.81021
81.953201,113.985503,17.747629
82.046394,114.233078,17.71535
82.1408,114.483779,17.682663
82.280098,114.853473,17.634461
82.426598,115.242532,17.583735
82.607597,115.723313,17.52105
82.702896,115.97623,17.488074
